"Total number of peaks opened for Mountaineering 
",,
 Name   ,Height,Region  
"Yakawa Kang
", 6482 , Mustang 
"Tutse ( Peak 6 )
", 6758  ,Chamlang /Makalu  
"Tukuche Peak 
",6920,Dhaulagiri 
"Tso Karop Kang 
",6556  ,Humla 
Thapa Peak ,6012  ,"Dhaulagiri 
"
Thamserku ,6623  ,"Sagarmatha 
"
Tashi Kang ,"6386   
","Dhaulagiri/Mustang 
"
Tarek Kang ,"7193  
",Gandaki  
Taple Sikhar (Cross ,6341,Taplejung  
Takphu Himal ,6395,Karnali  
Takargo ,6771, Rolwaling 
Swelokhan ,"6180  
",Gandaki  
Swaksa Kang ,6405,Karnali  
Suyaokang ,5960," Taplejung 
"
"Surma­Sarovar, North  ",6523,Bajhang  
Sobitongie ,6670,  Taplejung 
Sita Chuchura ,6611, Dhaulagiri 
Sisne ,5849, Karnali  
"Singu Chuli  
",6501,Gandaki  
Shey Shikhar ,6139,"
Karnali 
"
Sherson ( Peak 3 ) ,6422,"Chamlang/ Makalu 
"
Sharphu VI ,6076,  Taplejung  
Sharphu V ,6328,Taplejung  
Sharphu IV ,"6433  
",Taplejung  
Sharphu III ,6885,Taplejung  
Sharphu II ,6154,Taplejung
Sharphu I ,7070  ,"Taplejung 
"
Shantishikhar ,"7591   
",Sagarmatha/Khum 
Sat Peak ,6220,  Taplejung 
Saribung ,6346,Mustang 
Samdo Peak ,6335, Gandaki 
Saldim (Peak 5 ) ,6374,Chamlang/ Makalu
Salbachum ,6707, Bagmati 
"Saipal, East ",6882, Bajhang 
Saipal ,7031,  Mahakali 
Rokapi ,5467," Bhajang 
"
Ratna Chuli ,7128, Manang  
Ramtang ,6601, Mechi  
"Ramdung 
",5925," Janakpur 
"
Ramchaur ,4500,  Mechi 
Raksha Urai ,6593, Bajhang  
Putrung ,6466,  Mustang 
Putkhang ,6120,Mustang  
Putha Hiunchuli ,7246, Dhaulagiri  
Punchen Himal ,6049,Gandaki  
Pumori ,7161,"  Sagarmatha 
"
Pokharkhan ,6348, Mustang 
"Pokhalde  
",5806,"Sagarmatha 
"
Phole ,"6645  
","Taplejung 
"
Peak 4 ,"6736  
", Chamlang/ Makalu
Pathivara Chuli ,7125,Mechi  
Pasang Lhamu ,7351,  Sagarmatha  
Panbuk Ri ,6716,"  Solukhumbu 
"
"Paldor Peak  
",5896, Bagmati  
"Ohmi Kanga  
",6829, Mechi 
"Nirekha Peak  
","6159   
", Solukhumbu
Nilgiri South ,6839,Dhaulagiri
Ngadi Chuli (Peak 29 ,7871,Gandaki
Nar Phu ,5748,"Gorkha 
"
"Nampa, South ",6580  ,"Darchula/ Bajhang 
"
Nampa II ,"6700   
",Darchula/ Bajhang
Name                              , Height , Region
"Nala Kankar  
","6062  
",Karnali  
Nagpai Gosum III ,7110  ,"Solukhumbu 
"
Mojka Peak ,"6032  
",Taplejung  
Makalu I ,8463  ,"Koshi 
"
Lung Sampa ,6100,"Sagarmatha 
"
Lumba Sumba ,5670  ,"Taplejung 
"
Loshar II ,6860,"Taplejung 
"
"Lobuje  
","6119   
",Sagarmatha
"Linku Chuli2 
",6659   ,"Rolwaling 
"
"Linku Chuli1 
",6719  ,"Rolwaling 
"
Lhotse Shar ,"8400  
", Sagarmatha
Lhotse Middle ,8413   ,"Sagarmatha 
"
"Lemgpo Peak  
",6954  ,"Mechi 
"
"Langsisa Ri  
",6427  ,Bagmati 
"Lachama Chuli 
",6721,Karnali 
"Kyabura 
",6332  ,Taplejung 
"Kwangde  
",6011  ,Sagarmatha
"Kusum Kanguru  
",6367,Sagarmatha 
"Kumbatse 
",6639,"Solukhumbu 
"
"Korko 
",6053  ,"Bajhang 
"
"Khiurikala 
",5806,"Bajhang 
"
"Karyolung  
",6511,"Sagarmatha 
"
"Kangja Chuli  
",5844,Bagmati 
"Kangfu Gaton Kanta 
",5916,"Dolpa/ Karnali 
"
"Kang Kuru
", 6320 ,Mustang 
"Kang Guru
", 6981 ,Gandaki 
"Kande Hiunchuli 
",6627  ,Karnali 
"Kanchenujunga 
",8476,Mechi
"Kanchenjunga (Sough) 
",8476,Mechi
"Kanchenjunga (Main)    
",8586,Mechi 
"Kambong Peak 
",6570  ,Dhaulagiri 
Kalo Parbat , 5419,Dhaulagiri 
"Kagmara 
",5960, Karnali 
"Kabru 
",7318  ,Singalila
"Jongsang Peak  
",7483  ,Mechi 
"Jomsom Himal 
",6581  ,Mustang 
"Jobo Rinjang 
",6666  , Solukhumbu 
"Jethi Bahurani  
",6850, Mahakali 
"Janak 
",7090,Taplejung 
"Jagdula Peak 
",5764  ,Karnali
"Imja Tse (Island Peak) 
",6183, Sagarmatha
"Hunku 
",6119   ,"Solukhumbu 
"
"Hunchi 
",7036,"Sagarmatha 
"
"Hongu (Sura Peak )  
",6764,Makalu  
"Hongde 
",6556,Gandaki
"Himlung Himal 
",7126," Gandaki 
"
"Himjung 
",7140,Manang 
"Himachuli West 
",7540,Gandaki 
"Gyajinkang 
",7038,"Gandaki 
"
"Gyajikang 
",7038  ,Manang 
"Gyachung Kang  
",7952  ,Sagarmatha 
"Gokyori 
",5450, Sagarmatha 
"Gimigela Chuli 
",7350, Mechi 
"Ghustung North 
",6529,Dhaulagiri 
"Ghustong South
", 6465  ,Dhaulagiri 
"Ghenye Liru 
",6571,Bagmati
"Gauri Shanker 
",7134,Janakpur
Gaugiri, 6110 ,"Mustang
"
"Gangapurna 
",7455,Gandaki 
Ganesh VI,6480,Gorkha
"Ganesh V 
",6986, Bagmati 
"Ganesh IV (Pabil) 
",7052  ,Bagmati
"Ganesh III (Salasungo) 
",7110,Bagmati 
"Ganesh II 
",7111  ,Bagmati 
"Ganesh 1 (Yangra)
",7429,Bagmati 
"Gandharva
",6248,Gandaki 
"Ganchenpo
",6387,Bagmati  
"Gajang 
",6111,Mustang 
"Fimkof West
", 6645  ,Bajhang 
"Fimkof 
",6697, Bajhang 
"Ek Rate Dada 
",6312,"Shankhuwasava 
"
"Dranganag Ri 
",6801,Janakpur
"Drahmo 
",6855,Mechi
"Dragmorpa Ri 
",6185,Bagmati 
"Dorje Lhakpa
",6966,Bagmati 
"Domekhan 
",7264,"Taplejung 
"
"Dogari 
",6536,Dhaulagiri 
Dingiung Ri ,6249,Dolakha
Dhaulagiri VI ,7268,Dhaulagiri
Dhaulagiri V ,7618,Dhaulagiri
Dhaulagiri IV ,7661,Dhaulagiri
Dhaulagiri II ,7751,Dhaulagiri
Dhaulagiri I ,8167,"Dhaulagiri 
"
Dhaulagiri ,6632,Bhajang
Dhampus ,6012,Dhaulagiri
Dhagpahe ( Yansa ,6567,Bagmati 
Dazaney (Dzanaye ,6710,Taplejung
Danga ,6355,"Taplejung 
"
Churen ,7371,Dhaulagiri
"Chulu West
",6419,Gandaki
"Chulu East 
",6584,"Gandaki 
"
Cho­O­You ,8201,Sagarmatha
Cho Polu ,6711,Sagarmatha 
Chhubohe Peak ,5603,Manang
Chhochenphu Himal ,"6260  
",Janak
Cheo Himal ,6820,gandaki
"Chekig
","6257  
", Dolakha
Chaw Peak ,6404,"
Janak 
"
Changwatnang ,6125,"Humla 
"
Chamlang,7319,Barun
Chamar #,7187,Gandaki
Chako,6704,Manang
Chago,6893,Solukhumbu
"Chabuk (Tsajirip) 
",6960,Taplejung
Bokta Peak,6143,"Taplejung 
"
Bobaye,6808,"Mahakali 
"
"Bhrikuti # 
",6364,"Dhaulagiri 
"
Bhemdang Ri #,6150,Bagmati 
Bhairab Takura,6799,Bagmati 
Baudha,6672,"Gandaki 
"
Barun Tse,7129,Koshi
Bamongo,6400,Dolakha
Baden Powell Scout,5890,Bagmati 
Api West,7100, Darchula
Api,7132,"Mahakali 
"
"Annapurna South 
",7219,Gandaki
Annapurna 4,7525,Gandaki
Annapurna 3, 7555,Gandaki
"Anidesh Chuli 
",6960,Taplejung
Amphu Gyabien,5647,Solukhumbu
Amolsang,"
 6392","
Mustang/ Manang"
"Ama Dablam
",6812,Sagarmatha 
"97 Himalchuli N.
",7371,Gandaki
" Yubra Himal  
", 6035  ,Bugmati 
" Yokopahar 
",6401,Darchula/ Bajhang 
" Yaupa 
",6432  ,Chamlang/ Makalu 
" Yanme Kang 
",6206,Janak 
" Yalung Kang 
",8505,Mechi 
" Yala  
",5732, Bagmati 
 White Wave, 5809 ,"Taplejung 
"
" Varaha Shikhar (Fang) 
",7647,Dhaulagiri 
" Urknmang 
",6151,Jugal Bagmati 
" Tso Karpo 
",6518  ,Dolpa 
" Tsartse 
",6398, Dhaulagiri/Mustang
 Tripura Hiunchuli ,6563,Karnali
 Tobsar Peak ,6100,Gorkha
 Tilkang ,6369,  Karnali  
 Tilje ,5697," Manang 
"
 Tilicho Peak ,7134,  Gandaki  
 Thulagi Peak ,7059, Gandaki 
 Thorang Peak ,5751  ,"Gandaki 
"
 Tharpu Chuli (Tent ,5663,Gandaki  
 Tengkoma ,6215, Mechi  
 Tengkangpoche ,6500,  Sagarmatha
 Tengi Ragi Tau ,"6948   
",  Solukhumbu
 Tawoche ,6501,"Sagarmatha  
"
 Sagarmatha ,8848,Sagarmatha 
 Rothong ,6682, Singalila
 Roma ,5407  ,"Bhajang 
"
 Rantang Chang ,6750,  Taplejung  
 Ramdrong ,4499,Gandaki  
" Pisang  
",6091,Gandaki  
 Phurbi Chyachu ,6631,Bagmati 
 Phungi ,6538,Gandaki  
 Phu Kang ,6694,Manang  
" Phari Lapcha  
",6017,Solukhumbu
 Pethangtse ,6710,Solukhumbu
 Peak 43 ,6779  ,Solukhumbu
 Peak 41 ,"6649   
",Solukhumbu
 Peak 38 ,7590, Sagarmatha
 Patrasi ,6450,  Karnali  
 Pashuwo ,6177,Bagmati
" Parchamo  
",6187,  Janakpur  
" Panpoche 2  
","6504  
",Gandaki  
" Panpoche 1 
",6620," Gandaki  
"
 Pandra ,6850, Taplejung 
 Panbari ,6887,  Manang  
 Panalotapa ,6687,  Rolwaling 
 Pabuk Kang (Kangata )  ,6244, Janak 
 P2 ,6251, Gandaki  
" Ombigaichen  
",6340,Solukhumbu  
 Nuptse ,"7855   
","Sagarmatha 
"
 Numri ,"6677    
",Sagarmatha
 Numbur ,6957,"Sagarmatha 
"
 Norbu Kang ,"6005   
","
Dolpa/ Karnali"
 Nilgiri North ,7061,Dhaulagiri
 Nilgiri Central ,6940,Dhaulagiri 
 Nheserku ,"5927  
", Sagarmatha 
 Ngojumbakang ,7743,Sagarmatha  
" Nepal Peak  
","6910  
",Mechi 
 Nemjung ,7139,  Manang/ Gandaki 
 Naulekh ,"6240     
","Solukhumbu 
"
 Nangamari 1 ,"6547  
",Janak  
 Nangamari   2 ,6205,Janak  
 Nampa III ,"6618   
",Darchula/Bajhang
 Nampa ,6755,Mahakali
 Nagpai Gosum II ,"7296    
","Solukhumbu 
"
 Nagpai Gosum I ,"7312   
","Solukhumbu 
"
 Merra ,"6335  
","Taplejung  
"
 Mera South ,"6064   
",Sagarmatha
" Mera Peak  
","6654   
","Sagarmatha 
"
 MDM Peak ,6270  ,"Taplejung 
"
 Mariyang ,"6528  
",Karnali  
 Manaslu North ,"7157  
",Gandaki  
 Manaslu ,8163,Gandaki
 Manapathi ,"6380   
",Dhaulagiri 
 Makalu II ,7678  ,"Koshi 
"
" Madri Himal  
",5587,"Gandaki 
"
" Machermo  
","6273   
","Solukhumbu 
"
 Luza Peak ,5726  ,"Taplejung 
"
 Lumba Sumba Peak ,5672  ,"Taplejung 
"
 Loshar I ,6930  ,"Taplejung 
"
" Lobuje West  
",6145, Sagarmatha
 Lintren ,"6713   
","Solukhumbu 
"
 Lhotse ,8516,"Sagarmatha 
"
 Lhayul Peak ,6397  ,"Humla 
"
" Leonpo Gang   
",6979  ,"Bagmati 
"
 Larkya Peak ,6010  ,"Gorkha 
"
 Lanpo Peak ,6965,"Janak 
"
" Langtang Ri  
",7205,"Bagmati 
"
 Langtang Lirung ,7234,"Bagmati 
"
 Langmoche Ri ,6617,"Solukhumbu 
"
 Lang Chung Kang ,6475,"Taplejung 
"
 Lamjung Himal ,6983,"Gandaki 
"
" Kyungya Ri   1 
",6599  ,Bagmati 
" Kyungya Ri    2 
",6506  ,Bagmati 
" Kyazo Ri  
",6186,"Solukhumbu 
"
" Kyashar 
",6770  ,Shankhuwasava 
" Kumbhakarna 
",7710,Mechi 
" Kokthang 
",6148,Singalila 
" Kojichwa Chuli 
",6439,Karnali 
" Kirat Chuli 
",7365  ,Mechi 
" Khumjung   
",6699,Mustang 
" Khongma Tse 
", 5849 ,"Sagarmatha 
"
" Khayan 
",6186  ,Gandaki
" Khatung Kang 
",6484,Manang 
" Khatang 
",6582,Janakpur 
" Khangri West 
",6773  ,"Sagarmatha 
"
" Khangri Shar 
",6811,"Sagarmatha 
"
" Khang Sar Kang 
",  7485 ,Gandaki  
" Kaptang 
",5965   ,"Karnali 
"
" Kanti Himal 
",6859  ,Mugu
" Kanjiroba 
",6883,Karnali 
" Kanjerawa 
",6612, Karnali 
" Kangtokla 
",6294,Karnali 
" Hongde 
",6556,Gandaki
 Himalchuli E.  ,7893,Gandaki
" Gyalzen Peak   
",6151,Bagmati
" Gurkarpo Ri 
",6891  ,Bagmati 
" Gurja Himal  
",7193, Dhaulagiri 
" Gorkha Himal 
",6092,Solukhumbu 
" Ghhanyala Hies 
",6779,"Taplejung 
"
 Dhaulagiri III ,7715,Dhaulagiri
" Cholatse
",6440,Sagarmatha
" Chhukung Ri 
","5550   
",Khumbu
 Chhiv Himal ,6581,Mustang
" Changla 
",6563,Karnali
 Arniko Chuli, 6039,Mustang 
" Annapurna 2 
",7937,Gandaki
 Amphu I,6840,Solukhumbu
"  Abi *  
",6097,Solukhumbu  
"
Annapurna 1",8091,Gandaki
